URL,Version,Status,OIDs,Name,Title,Description,Used
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/underwater-training-procedures,ValueSet/fitness-assessment-result-vs,ValueSet/GimbalContraindicatedConditions,ValueSet/SleepLossHypoxiaEffect,ValueSet/SpaceRadiationRisksVS,ValueSet/SpaceflightStressFactors,ValueSet/ecg-interpretation-vs,ValueSet/space-radiation-effects,ValueSet/LunarDustToxicityValueSet,ValueSet/diving-contraindicated-conditions,ValueSet/regulatory-standards,ValueSet/decompression-procedures,ValueSet/SpaceTravelBrainChanges,ValueSet/space-cardiovascular-effects,ValueSet/space-physiological-effects,ValueSet/space-visual-effects,ValueSet/MuscleStiffnessAndSpaceHealth,ValueSet/SpaceAdaptationBoneHealth,ValueSet/space-environmental-factors,ValueSet/AircraftFumeExposureValueSet,ValueSet/radiation-countermeasures-vs-complete,ValueSet/space-radiation-type-vs-complete,ValueSet/space-monitoring-procedures,ValueSet/SleepLossHypoxiaResponses,ValueSet/space-neurological-effects,ValueSet/space-psychological-effects,ValueSet/AstronautBackPain,ValueSet/behavioral-readiness-vs"
https://mitre.org/fhir/space-health/CodeSystem/calorie-deficit-risk-cs,0.5.9,active,,CalorieDeficitRiskCS,Calorie Deficit Risk Levels,"Risk categorization for caloric deficits","ValueSet/calorie-deficit-risk-vs"
https://mitre.org/fhir/space-health/CodeSystem/decompression-protocol-cs,0.5.9,active,,DecompressionProtocolCS,Decompression Protocols and Procedures,"Standardized decompression protocols and safety procedures","ValueSet/decompression-procedures"
https://mitre.org/fhir/space-health/CodeSystem/diving-medicine-cs,0.5.9,active,,DivingMedicineCS,Diving Medicine Code System,"Medical codes specific to diving medicine and hyperbaric treatments","ValueSet/diving-medical-examinations"
https://mitre.org/fhir/space-health/CodeSystem/hydration-type-cs,0.5.9,active,,HydrationTypeCS,Hydration Product Types,"Types of hydration products used in space","ValueSet/hydration-type-vs"
https://mitre.org/fhir/space-health/CodeSystem/macronutrient-metrics-cs,0.5.9,active,,MacronutrientMetricsCS,Macronutrient Metrics,"Measurement types for macronutrient tracking","ValueSet/macronutrient-metrics-vs"
https://mitre.org/fhir/space-health/CodeSystem/mrid-launch-context-name-cs,0.5.9,active,,MRIDLaunchContextNameCS,MRID Launch Context Name CodeSystem,"Names for launch context variables","ValueSet/mrid-launch-context-name-vs"
https://mitre.org/fhir/space-health/CodeSystem/mrid-launch-context-type-cs,0.5.9,active,,MRIDLaunchContextTypeCS,MRID Launch Context Type CodeSystem,"FHIR resource types for launch context","ValueSet/mrid-launch-context-type-vs"
https://mitre.org/fhir/space-health/CodeSystem/nasa-data-archive-cs,0.5.9,active,,NASADataArchiveCS,NASA Medical Data Archive Systems,"Data archive and delivery systems for NASA medical data.","ValueSet/nasa-data-archive-vs"
https://mitre.org/fhir/space-health/CodeSystem/nasa-medical-facility-cs,0.5.9,active,,NASAMedicalFacilityCS,NASA Medical Facility Locations,"Medical testing facility locations for NASA medical requirements.","ValueSet/nasa-medical-facility-vs"
https://mitre.org/fhir/space-health/CodeSystem/nasa-medical-hardware-cs,0.5.9,active,,NASAMedicalHardwareCS,NASA Medical Hardware,"Medical equipment and hardware used in NASA medical requirements.","ValueSet/nasa-medical-hardware-vs,ValueSet/nasa-exercise-equipment-vs,ValueSet/nasa-cardiovascular-equipment-vs,ValueSet/nasa-radiation-equipment-vs"
https://mitre.org/fhir/space-health/CodeSystem/nasa-medical-roles-cs,0.5.9,active,,NASAMedicalRolesCS,NASA Medical Personnel Roles,"Personnel roles involved in NASA medical requirements.","ValueSet/iss-crewmember-type-vs,ValueSet/nasa-medical-roles-vs"
https://mitre.org/fhir/space-health/CodeSystem/nasa-mission-phase-cs,0.5.9,active,,NASAMissionPhaseCS,NASA Mission Phase Timing,"Mission phases and timing codes for medical requirements scheduling.","ValueSet/nasa-mission-phase-vs"
https://mitre.org/fhir/space-health/CodeSystem/nasa-mrid-discipline-cs,0.5.9,active,,NASAMRIDDisciplineCS,NASA MRID Medical Disciplines,"Medical disciplines categorizing NASA Medical Requirements Integration Documents.","ValueSet/nasa-mrid-discipline-vs"
https://mitre.org/fhir/space-health/CodeSystem/nasa-mrid-sponsor-cs,0.5.9,active,,NASAMRIDSponsorCS,NASA MRID Sponsor Organizations,"Organizations that sponsor medical requirements within NASA's Medical Requirements Integration Documents.","ValueSet/nasa-mrid-sponsor-vs"
https://mitre.org/fhir/space-health/CodeSystem/nasa-schedule-offset-cs,0.5.9,active,,NASAScheduleOffsetCS,NASA Schedule Offset Notation,"L-minus and R-plus notation codes for mission timeline scheduling.","ValueSet/nasa-schedule-offset-vs,ValueSet/nasa-postflight-offset-vs,ValueSet/nasa-preflight-offset-vs"
https://mitre.org/fhir/space-health/CodeSystem/neutral-buoyancy-training-cs,0.5.9,active,,NeutralBuoyancyTrainingCS,Neutral Buoyancy Training Code System,"Specialized codes for neutral buoyancy training activities and assessments","ValueSet/neutral-buoyancy-training-activities"
https://mitre.org/fhir/space-health/CodeSystem/nutrition-inventory-status-cs,0.5.9,active,,NutritionInventoryStatusCS,Nutrition Inventory Status,"Status levels for nutrition inventory management","ValueSet/nutrition-inventory-status-vs"
https://mitre.org/fhir/space-health/CodeSystem/radiation-countermeasures-cs,0.5.9,draft,,RadiationCountermeasuresCS,Radiation Countermeasures Code System,"Protective measures against space radiation","ValueSet/radiation-countermeasures-vs-complete,ValueSet/radiation-countermeasures-vs"
https://mitre.org/fhir/space-health/CodeSystem/radiation-detector-type-cs,0.5.9,draft,,RadiationDetectorTypeCS,Radiation Detector Type Code System,"Types of radiation detection equipment","ValueSet/dosimeter-type-vs,ValueSet/radiation-detector-type-vs-complete"
https://mitre.org/fhir/space-health/CodeSystem/regulatory-compliance-cs,0.5.9,active,,RegulatoryComplianceCS,Diving and Space Medicine Regulatory Compliance,"Regulatory standards and compliance codes for diving and space medicine","ValueSet/regulatory-standards"
https://mitre.org/fhir/space-health/CodeSystem/space-nutrition-type-cs,0.5.9,active,,SpaceNutritionTypeCS,Space Nutrition Product Types,"Types of nutritional products used in space missions","ValueSet/space-nutrition-type-vs"
https://mitre.org/fhir/space-health/CodeSystem/space-radiation-type-cs,0.5.9,draft,,SpaceRadiationTypeCS,Space Radiation Type Code System,"Types of radiation encountered in space environments","ValueSet/space-radiation-type-vs-complete,ValueSet/space-radiation-type-vs"
https://mitre.org/fhir/space-health/CodeSystem/underwater-communication-cs,0.5.9,active,,UnderwaterCommunicationCS,Underwater Communication Systems,"Communication systems and protocols for underwater training operations","ValueSet/underwater-communication-systems"
